municipio,estado,populacao_municipio,populacao_estado,area_km2,densidade_populacional,percentual_populacao_estado
Olho d'Água do Casado,Alagoas,8522.0,3220104.0,327.678,26.007238813713464,0.2646498373965561
Olivença,Alagoas,11048.0,3220104.0,175.288,63.02770298023823,0.3430945087487858
Ouro Branco,Alagoas,11699.0,3220104.0,196.56,59.518722018722016,0.36331124709015605
Palestina,Alagoas,4410.0,3220104.0,38.189,115.47827908560056,0.13695209844154102
Palmeira dos Índios,Alagoas,73596.0,3220104.0,450.99,163.18765382824452,2.2855162441958394
Pariconha,Alagoas,10803.0,3220104.0,254.719,42.41144162783303,0.3354860588353668
Paripueira,Alagoas,14176.0,3220104.0,92.788,152.77837651420444,0.44023422845970195
Passo de Camaragibe,Alagoas,14076.0,3220104.0,251.29,56.01496279199332,0.4371287386991228
Paulo Jacinto,Alagoas,6697.0,3220104.0,118.457,56.535282845251864,0.2079746492659864
Penedo,Alagoas,60189.0,3220104.0,688.452,87.4265744017012,1.8691632319949913
Piaçabuçu,Alagoas,16201.0,3220104.0,243.686,66.48309710036686,0.50312039611143
Pilar,Alagoas,36499.0,3220104.0,259.614,140.58949055135702,1.133472707713788
Pindoba,Alagoas,2786.0,3220104.0,117.086,23.794475855354186,0.08651894472973544
Piranhas,Alagoas,23053.0,3220104.0,403.995,57.06258740826,0.7159085545063141
Porto Calvo,Alagoas,24520.0,3220104.0,313.231,78.28088535298231,0.7614660892940104
Porto Real do Colégio,Alagoas,20262.0,3220104.0,235.852,85.90980784559808,0.6292343352885497
Porto de Pedras,Alagoas,9508.0,3220104.0,257.105,36.98099998055269,0.29526996643586667
Poço das Trincheiras,Alagoas,12974.0,3220104.0,284.26,45.64131428973475,0.4029062415375404
Pão de Açúcar,Alagoas,24291.0,3220104.0,688.87,35.2620958961778,0.7543545177422841
Quebrangulo,Alagoas,11305.0,3220104.0,319.829,35.34701356037132,0.3510756174334742
Rio Largo,Alagoas,97435.0,3220104.0,293.816,331.61910855773687,3.0258339482203063
Roteiro,Alagoas,6607.0,3220104.0,128.926,51.24645145277136,0.2051797084814652
Santa Luzia do Norte,Alagoas,7065.0,3220104.0,28.857,244.8279446927955,0.21940285158491774
Santana do Ipanema,Alagoas,47397.0,3220104.0,436.16,108.6688371239912,1.471908981821705
Santana do Mundaú,Alagoas,11568.0,3220104.0,232.169,49.8257734667419,0.3592430555037974
Satuba,Alagoas,25000.0,3220104.0,41.268,605.7962586023068,0.7763724401447903
Senador Rui Palmeira,Alagoas,12549.0,3220104.0,338.569,37.06482282784307,0.389707910055079
São Brás,Alagoas,6557.0,3220104.0,139.038,47.15976927170989,0.2036269636011756
São José da Laje,Alagoas,21193.0,3220104.0,256.603,82.59061663347661,0.6581464449595417
São José da Tapera,Alagoas,31557.0,3220104.0,490.879,64.28671831551156,0.979999403745966
São Luís do Quitunde,Alagoas,31792.0,3220104.0,397.257,80.02879747871026,0.987297304683327
São Miguel dos Campos,Alagoas,53391.0,3220104.0,335.683,159.05184355478235,1.6580520380708204
São Miguel dos Milagres,Alagoas,8687.0,3220104.0,76.731,113.21369459540473,0.26977389550151176
São Sebastião,Alagoas,32701.0,3220104.0,314.924,103.83775133047975,1.0155262066069914
Tanque d'Arca,Alagoas,5909.0,3220104.0,124.617,47.41728656603834,0.18350338995262266
Taquarana,Alagoas,19422.0,3220104.0,153.841,126.24722928218095,0.6031482212996847
Teotônio Vilela,Alagoas,39161.0,3220104.0,299.221,130.8765093359089,1.2161408451404054
Traipu,Alagoas,24124.0,3220104.0,681.577,35.39438684110526,0.7491683498421169
União dos Palmares,Alagoas,60874.0,3220104.0,420.376,144.80845719070547,1.8904358368549585
Viçosa,Alagoas,24423.0,3220104.0,367.888,66.38705258122037,0.7584537642262486
Água Branca,Alagoas,19550.0,3220104.0,468.229,41.75307381644452,0.607123248193226
Amapá,Amapá,8434.0,802837.0,8454.847,0.9975343137492613,1.0505245772180405
Calçoene,Amapá,11391.0,802837.0,14117.297,0.8068825073241712,1.4188434264987786
Cutias,Amapá,4725.0,802837.0,2179.114,2.1683124425798743,0.5885378974810578
Ferreira Gomes,Amapá,7145.0,802837.0,4973.855,1.4365115187314468,0.8899689476195044
Itaubal,Amapá,6043.0,802837.0,1622.867,3.723656960182196,0.7527057173498481
Laranjal do Jari,Amapá,37969.0,802837.0,30782.998,1.2334406154982045,4.729353530044081
Macapá,Amapá,487200.0,802837.0,6563.849,74.22474222060868,60.68479654026907
Mazagão,Amapá,23575.0,802837.0,13294.778,1.7732526259558452,2.93646157314623
Oiapoque,Amapá,30481.0,802837.0,23034.392,1.3232821599979718,3.796661090607433
Pedra Branca do Amapari,Amapá,13798.0,802837.0,9622.29,1.4339621857167055,1.7186552189298698
Porto Grande,Amapá,18988.0,802837.0,4428.013,4.288153625565236,2.365112719020175
